S1 : 0 -> 98 : FROM START TO END
S101 : 67 -> 96 : FROM S14 TO S37
S102 : 88 -> 96 : FROM S33 TO S31
S103 : 72 -> 97 : FROM S62 TO S1
S104 : 80 -> 96 : FROM S48 TO S31
S105 : 32 -> 43 : FROM S1 TO S95
S106 : 75 -> 85 : FROM S1 TO S99
S107 : 72 -> 96 : FROM S16 TO S1
S108 : 22 -> 56 : FROM S20 TO S55
S109 : 68 -> 91 : FROM S24 TO S63
S110 : 22 -> 49 : FROM S1 TO S8
S111 : 48 -> 76 : FROM S20 TO S63
S112 : 39 -> 50 : FROM S49 TO S63
S113 : 84 -> 89 : FROM S58 TO S37
S114 : 32 -> 96 : FROM S32 TO S1
S115 : 2 -> 20 : FROM S1 TO S1
S116 : 35 -> 47 : FROM S80 TO S22
S117 : 55 -> 77 : FROM S7 TO S79
S118 : 90 -> 94 : FROM S99 TO S104
S119 : 82 -> 89 : FROM S11 TO S33
S120 : 38 -> 63 : FROM S1 TO S50
S121 : 41 -> 70 : FROM S65 TO S31
S122 : 50 -> 88 : FROM S49 TO S77
S123 : 76 -> 80 : FROM S21 TO S63
S124 : 33 -> 97 : FROM S110 TO S1
S125 : 9 -> 75 : FROM S1 TO S21
S126 : 43 -> 73 : FROM S18 TO S125
S127 : 75 -> 87 : FROM S122 TO S77
S128 : 84 -> 95 : FROM S109 TO S59
S129 : 62 -> 94 : FROM S76 TO S27
S130 : 14 -> 27 : FROM S1 TO S55
S131 : 11 -> 14 : FROM S90 TO S95
S132 : 57 -> 75 : FROM S43 TO S15
S133 : 78 -> 97 : FROM S127 TO S1
S134 : 93 -> 97 : FROM S118 TO S1
S135 : 15 -> 77 : FROM S1 TO S48
S136 : 72 -> 95 : FROM S62 TO S33
S137 : 69 -> 93 : FROM S71 TO S91
S138 : 73 -> 75 : FROM S76 TO S40
S139 : 61 -> 94 : FROM S111 TO S37
S140 : 4 -> 46 : FROM S1 TO S8
S141 : 67 -> 78 : FROM S93 TO S63
S142 : 69 -> 94 : FROM S57 TO S133
S143 : 79 -> 85 : FROM S58 TO S104
S144 : 85 -> 94 : FROM S31 TO S124
S145 : 30 -> 55 : FROM S1 TO S67
S146 : 88 -> 96 : FROM S139 TO S124
S147 : 41 -> 60 : FROM S145 TO S22
S148 : 44 -> 57 : FROM S40 TO S15
S149 : 72 -> 77 : FROM S13 TO S85
S150 : 14 -> 45 : FROM S1 TO S12

Possible Moves : 1, 2, 3, 7, 8
